review_id,review_text,rating,date,product_name
1,그냥 무난한 제품입니다.,3,2026-07-18,스마트워치 S2
2,배송도 빠르고 포장도 꼼꼼했어요.,4,2026-07-18,무선이어폰 X1
3,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-08,스마트워치 S2
4,"음질이 정말 좋아요, 만족합니다.",4,2026-06-14,무선이어폰 X1
5,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-06,무선이어폰 X1
6,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-06-15,스마트워치 S2
7,나쁘지 않지만 특별하지도 않아요.,3,2026-07-19,무선이어폰 X1
8,가격만큼의 성능인 것 같아요.,3,2026-06-18,무선이어폰 X1
9,연결이 끊기지 않고 안정적이에요.,4,2026-06-06,스마트워치 S2
10,연결이 끊기지 않고 안정적이에요.,5,2026-07-09,스마트워치 S2
11,가격 대비 성능이 훌륭합니다.,4,2026-07-30,스마트워치 S2
12,착용감이 편안해서 하루종일 껴도 안 아파요.,5,2026-07-07,무선이어폰 X1
13,그냥 무난한 제품입니다.,3,2026-07-13,무선이어폰 X1
14,배터리가 너무 빨리 닳아요.,1,2026-07-26,무선이어폰 X1
15,AS 받기가 너무 힘들어요.,2,2026-07-11,스마트워치 S2
16,연결이 끊기지 않고 안정적이에요.,5,2026-06-14,블루투스 스피커 M3
17,배터리가 너무 빨리 닳아요.,1,2026-07-05,블루투스 스피커 M3
18,"가성비 최고입니다, 추천해요.",5,2026-06-25,스마트워치 S2
19,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-14,스마트워치 S2
20,배송도 빠르고 포장도 꼼꼼했어요.,4,2026-07-22,스마트워치 S2
21,AS 받기가 너무 힘들어요.,1,2026-06-14,블루투스 스피커 M3
22,나쁘지 않지만 특별하지도 않아요.,3,2026-07-12,스마트워치 S2
23,가격에 비해 품질이 아쉬워요.,1,2026-06-17,무선이어폰 X1
24,착용감이 편안해서 하루종일 껴도 안 아파요.,5,2026-07-28,블루투스 스피커 M3
25,박스가 파손된 채로 도착했어요.,1,2026-06-09,블루투스 스피커 M3
26,배터리가 너무 빨리 닳아요.,1,2026-07-26,무선이어폰 X1
27,"가성비 최고입니다, 추천해요.",5,2026-07-09,무선이어폰 X1
28,설명서가 부실해서 설정하기 어려웠어요.,2,2026-07-04,스마트워치 S2
29,그냥 무난한 제품입니다.,3,2026-07-14,블루투스 스피커 M3
30,박스가 파손된 채로 도착했어요.,1,2026-06-19,스마트워치 S2
31,가격 대비 성능이 훌륭합니다.,4,2026-07-17,블루투스 스피커 M3
32,연결이 자꾸 끊겨서 불편해요.,1,2026-07-26,블루투스 스피커 M3
33,생각보다 음질이 별로예요.,1,2026-06-24,무선이어폰 X1
34,아직 사용해본 지 얼마 안 돼서 판단이 어려워요.,3,2026-07-09,스마트워치 S2
35,"This product is excellent, I love the sound quality.",5,2026-07-02,무선이어폰 X1
36,Battery life is great and very comfortable to wear.,5,2026-07-15,스마트워치 S2
37,"Terrible experience, it broke after two days.",1,2026-06-20,블루투스 스피커 M3
38,"Poor connection, very disappointed with this purchase.",2,2026-07-28,무선이어폰 X1
